query,target_ID,alntmscore,fident,evalue,taxid,taxname,query_effector_type_score,query_prediction,database,sequence_identity_global,sequence_identity_local,molecular_weight,num_tm_helices,signal_p,target_cysteine_percentage
FOXG_12469,C7ZLJ8,0.9082,0.317,0.000681,660122,Fusarium vanettenii 77-13-4,0.58,Apoplastic,uniprot50,0.1875,0.441176471,7882.84814,0,NO_SP,5.333333333
FOXG_14069,C7ZLJ8,0.9075,0.305,0.0006665,660122,Fusarium vanettenii 77-13-4,0.573,Apoplastic,uniprot50,0.1875,0.423076923,7882.84814,0,NO_SP,5.333333333
FOXG_12469,A0A067TGY0,0.9049,0.242,0.0004626,685588,Galerina marginata CBS 339.88,0.58,Apoplastic,uniprot50,0.157446809,0.260869565,8871.32604,0,NO_SP,4.87804878
FOXG_12469,A0A137QU22,0.9011,0.265,0.0003352,1714833,Leucoagaricus sp. SymC.cos,0.58,Apoplastic,uniprot50,0.179039301,0.241935484,9028.14174,0,NO_SP,4.761904762
FOXG_14069,A0A137QU22,0.8994,0.265,0.0003083,1714833,Leucoagaricus sp. SymC.cos,0.573,Apoplastic,uniprot50,0.174672489,0.241935484,9028.14174,0,NO_SP,4.761904762
FOXG_17307,A0A094E4Z2,0.8771,0.328,0.0004141,1420912,Pseudogymnoascus sp. VKM F-103,0.931,Apoplastic,uniprot50,0.197916667,0.379310345,43275.58884,0,NO_SP,2.857142857
FOXG_22058,A0A1B8AQW3,0.8764,0.26,0.0009425,36050,Fusarium poae,0.639,Apoplastic,uniprot50,0.205673759,0.263888889,20774.74514,0,NO_SP,6.486486486
FOXG_12469,A0A6C1LLE3,0.8628,0.292,0.0001877,5501,Coccidioides immitis,0.58,Apoplastic,uniprot50,NA,NA,18.01524,NA,NA,NA
FOXG_17307,A0A6G1J3A6,0.8587,0.272,0.0002897,1168545,Lentithecium fluviatile CBS 122367,0.931,Apoplastic,uniprot50,0.203065134,0.275362319,27835.68444,0,NO_SP,4.918032787
FOXG_14069,A0A109FKV6,0.8481,0.288,0.0001176,1305733,Rhodotorula sp. JG-1b,0.573,Apoplastic,uniprot50,0.203703704,0.344827586,8419.12404,0,NO_SP,4.761904762
FOXG_12469,A0A1Y2EY68,0.8423,0.234,0.0001451,106004,Leucosporidium creatinivorum,0.58,Apoplastic,uniprot50,0.176211454,0.271186441,9244.07334,0,NO_SP,5.617977528
FOXG_12469,A0A0C9V7P3,0.839,0.313,0.0007263,990650,Sphaerobolus stellatus SS14,0.58,Apoplastic,uniprot50,0.161702128,0.444444444,7318.20134,0,NO_SP,5.633802817
FOXG_14069,A0A0C9V7P3,0.8355,0.301,0.0007108,990650,Sphaerobolus stellatus SS14,0.573,Apoplastic,uniprot50,0.161702128,0.444444444,7318.20134,0,NO_SP,5.633802817
FOXG_12469,A0A3N4J8G5,0.8288,0.316,0.0004934,1336337,Choiromyces venosus 120613-1,0.58,Apoplastic,uniprot50,0.161572052,0.369863014,7687.51934,0,NO_SP,4
FOXG_20914,F9GAP4,0.8286,0.277,0.0003768,660025,Fusarium oxysporum f. sp. conglutinans Fo5176,0.5915,Apoplastic/cytoplasmic,uniprot50,0.155279503,0.301886792,19051.65614,0,NO_SP,3.105590062
FOXG_14069,A0A3N4J8G5,0.8268,0.316,0.0003083,1336337,Choiromyces venosus 120613-1,0.573,Apoplastic,uniprot50,0.16017316,0.369863014,7687.51934,0,NO_SP,4
FOXG_14069,A0A1Y2ETU3,0.8251,0.257,0.0001729,106004,Leucosporidium creatinivorum,0.573,Apoplastic,uniprot50,0.181395349,0.288135593,8264.95264,0,NO_SP,7.142857143
FOXG_12469,A0A1Y2ETU3,0.8245,0.247,0.0001451,106004,Leucosporidium creatinivorum,0.58,Apoplastic,uniprot50,0.181395349,0.271186441,8264.95264,0,NO_SP,7.142857143
FOXG_14069,A0A0B7KMB5,0.8204,0.318,0.0008619,29856,Clonostachys rosea,0.573,Apoplastic,uniprot50,0.205128205,0.342857143,13472.16424,0,NO_SP,2.380952381
FOXG_17307,A0A6A6SQ41,0.8168,0.215,0.0001597,1314788,Lophiostoma macrostomum CBS 122681,0.931,Apoplastic,uniprot50,0.209302326,0.325581395,34047.66804,0,SP,4.620462046
