"","query","target","alntmscore","lddt","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","evalue","bits","query_prediction","query_effector_type_score","target_prediction"
"1","FOXG_01344","FOXG_01344",1,1,1,289,0,0,1,289,1,289,2.387e-40,2086,"Non-effector",0.732,"Non-effector"
"2","FOXG_01357","FOXG_01357",1,1,1,106,0,0,1,106,1,106,6.058e-19,570,"Non-effector",0.692,"Non-effector"
"3","FOXG_01683","FOXG_01683",1,1,1,131,0,0,1,131,1,131,3.144e-26,992,"Non-effector",0.636,"Non-effector"
"4","FOXG_02842","FOXG_02842",1,1,1,155,0,0,1,155,1,155,2.528e-30,1176,"Apoplastic/cytoplasmic",0.636,"Apoplastic/cytoplasmic"
"5","FOXG_03043","FOXG_03043",1,1,1,318,0,0,1,318,1,318,1.828e-49,1832,"Non-effector",0.84,"Non-effector"
"6","FOXG_03736","FOXG_03736",1,1,1,1293,0,0,1,1293,1,1293,0,7781,"Non-effector",0.961,"Non-effector"
"7","FOXG_04559","FOXG_04559",1,1,1,153,0,0,1,153,1,153,1.862e-32,1220,"Non-effector",0.728,"Non-effector"
"8","FOXG_05604","FOXG_05604",1,1,1,508,0,0,1,508,1,508,3.119e-101,4533,"Non-effector",0.863,"Non-effector"
"9","FOXG_05795","FOXG_05795",1,1,1,330,0,0,1,330,1,330,2.315e-67,3105,"Non-effector",0.802,"Non-effector"
"10","FOXG_06418","FOXG_06418",1,1,1,261,0,0,1,261,1,261,1.962e-53,2008,"Non-effector",0.751,"Non-effector"
"11","FOXG_06620","FOXG_06620",1,1,1,68,0,0,1,68,1,68,2.398e-13,389,"Cytoplasmic",0.514,"Cytoplasmic"
"12","FOXG_06911","FOXG_06911",1,1,1,605,0,0,1,605,1,605,1.047e-89,3407,"Non-effector",0.73,"Non-effector"
"13","FOXG_07142","FOXG_07142",1,1,1,297,0,0,1,297,1,297,2.102e-69,2636,"Non-effector",0.577,"Non-effector"
"14","FOXG_07716","FOXG_07716",1,1,1,82,0,0,1,82,1,82,1.605e-10,333,"Non-effector",0.839,"Non-effector"
"15","FOXG_09662","FOXG_09662",1,1,1,319,0,0,1,319,1,319,6.958e-57,2024,"Apoplastic",0.604,"Apoplastic"
"16","FOXG_10864","FOXG_10864",1,1,1,122,0,0,1,122,1,122,7.011e-24,1026,"Apoplastic",0.757,"Apoplastic"
"17","FOXG_11116","FOXG_11116",1,1,1,729,0,0,1,729,1,729,7.253e-91,3808,"Non-effector",0.744,"Non-effector"
"18","FOXG_11815","FOXG_11815",1,1,1,311,0,0,1,311,1,311,5.479e-43,2355,"Non-effector",0.843,"Non-effector"
"19","FOXG_12405","FOXG_12405",1,1,1,167,0,0,1,167,1,167,9.551e-31,1043,"Non-effector",0.684,"Non-effector"
"20","FOXG_12450","FOXG_12450",1,1,1,135,0,0,1,135,1,135,4.479e-26,949,"Apoplastic",0.629,"Apoplastic"
"21","FOXG_12469","FOXG_12469",1,1,1,235,0,0,1,235,1,235,2.129e-46,1677,"Apoplastic",0.58,"Apoplastic"
"22","FOXG_13589","FOXG_13589",1,1,1,126,0,0,1,126,1,126,9.381e-23,855,"Non-effector",0.535,"Non-effector"
"23","FOXG_14069","FOXG_14069",1,1,1,235,0,0,1,235,1,235,4.289e-46,1671,"Apoplastic",0.573,"Apoplastic"
"24","FOXG_14098","FOXG_14098",1,1,1,141,0,0,1,141,1,141,1.588e-22,713,"Cytoplasmic",0.873,"Cytoplasmic"
"25","FOXG_14140","FOXG_14140",1,1,1,106,0,0,1,106,1,106,1.385e-21,865,"Apoplastic/cytoplasmic",0.876,"Apoplastic/cytoplasmic"
"26","FOXG_14231","FOXG_14231",1,1,1,188,0,0,1,188,1,188,2.735e-36,1395,"Cytoplasmic",0.77,"Cytoplasmic"
"27","FOXG_14570","FOXG_14570",1,1,1,119,0,0,1,119,1,119,6.857e-23,807,"Cytoplasmic",0.861,"Cytoplasmic"
"28","FOXG_14758","FOXG_14758",1,1,1,320,0,0,1,320,1,320,1.646e-56,2389,"Non-effector",0.676,"Non-effector"
"29","FOXG_15903","FOXG_15903",1,1,1,44,0,0,1,44,1,44,7.376e-08,225,"Cytoplasmic",0.763,"Cytoplasmic"
"30","FOXG_15934","FOXG_15934",1,1,1,112,0,0,1,112,1,112,3.993e-18,570,"Non-effector",0.809,"Non-effector"
"31","FOXG_16398","FOXG_16398",1,1,1,163,0,0,1,163,1,163,1.245e-33,1397,"Non-effector",0.505,"Non-effector"
"32","FOXG_16416","FOXG_16416",1,1,1,232,0,0,1,232,1,232,2.899e-53,2102,"Apoplastic",0.943,"Apoplastic"
"33","FOXG_17259","FOXG_17259",1,1,1,142,0,0,1,142,1,142,7.657e-24,846,"Cytoplasmic",0.739,"Cytoplasmic"
"34","FOXG_17307","FOXG_17307",1,1,1,247,0,0,1,247,1,247,2.012e-58,2279,"Apoplastic",0.931,"Apoplastic"
"35","FOXG_17842","FOXG_17842",1,1,1,156,0,0,1,156,1,156,3.684e-27,1246,"Non-effector",0.637,"Non-effector"
"36","FOXG_17980","FOXG_17980",1,1,1,50,0,0,1,50,1,50,1.232e-09,281,"Apoplastic/cytoplasmic",0.5965,"Apoplastic/cytoplasmic"
"37","FOXG_18382","FOXG_18382",1,1,1,70,0,0,1,70,1,70,2.603e-13,523,"Cytoplasmic",0.594,"Cytoplasmic"
"38","FOXG_19337","FOXG_19337",1,1,1,50,0,0,1,50,1,50,2.934e-08,241,"Non-effector",0.783,"Non-effector"
"39","FOXG_19612","FOXG_19612",1,1,1,255,0,0,1,255,1,255,6.324e-39,1342,"Cytoplasmic",0.763,"Cytoplasmic"
"40","FOXG_19858","FOXG_19858",1,1,1,233,0,0,1,233,1,233,1.296e-35,1505,"Non-effector",0.832,"Non-effector"
"41","FOXG_20101","FOXG_20101",1,1,1,531,0,0,1,531,1,531,2.862e-68,2675,"Non-effector",0.769,"Non-effector"
"42","FOXG_20259","FOXG_20259",1,1,1,95,0,0,1,95,1,95,2.443e-19,639,"Apoplastic",0.593,"Apoplastic"
"43","FOXG_20490","FOXG_20490",1,1,1,164,0,0,1,164,1,164,3.086e-25,906,"Non-effector",0.754,"Non-effector"
"44","FOXG_20862","FOXG_20862",1,1,1,313,0,0,1,313,1,313,8.712e-59,2194,"Non-effector",0.633,"Non-effector"
"45","FOXG_20914","FOXG_20914",1,1,1,142,0,0,1,142,1,142,1.432e-32,1152,"Apoplastic/cytoplasmic",0.5915,"Apoplastic/cytoplasmic"
"46","FOXG_21426","FOXG_21426",1,1,1,290,0,0,1,290,1,290,4.903e-47,1753,"Non-effector",0.835,"Non-effector"
"47","FOXG_21467","FOXG_21467",1,1,1,59,0,0,1,59,1,59,1.399e-09,281,"Non-effector",0.756,"Non-effector"
"48","FOXG_22047","FOXG_22047",1,1,1,127,0,0,1,127,1,127,1.553e-29,1101,"Apoplastic",0.708,"Apoplastic"
"49","FOXG_22058","FOXG_22058",1,1,1,282,0,0,1,282,1,282,4.803e-57,2326,"Apoplastic",0.639,"Apoplastic"
"50","FOXG_22193","FOXG_22193",1,1,1,173,0,0,1,173,1,173,1.085e-30,1212,"Cytoplasmic",0.766,"Cytoplasmic"
"51","FOXG_22509","FOXG_22509",1,1,1,124,0,0,1,124,1,124,1.275e-27,1092,"Non-effector",0.623,"Non-effector"
"52","FOXG_22560","FOXG_22560",1,1,1,53,0,0,1,53,1,53,1.124e-12,424,"Apoplastic",0.801,"Apoplastic"
"53","FOXG_22737","FOXG_22737",1,1,1,569,0,0,1,569,1,569,8.134e-91,4642,"Non-effector",0.987,"Non-effector"
"54","FOXG_22777","FOXG_22777",1,1,1,99,0,0,1,99,1,99,9.685e-21,749,"Apoplastic",0.73,"Apoplastic"
"55","FOXG_22779","FOXG_22779",1,1,1,94,0,0,1,94,1,94,7.564e-22,792,"Apoplastic/cytoplasmic",0.9425,"Apoplastic/cytoplasmic"
"56","FOXG_22801","FOXG_22801",1,1,1,229,0,0,1,229,1,229,1.043e-37,1660,"Non-effector",0.709,"Non-effector"
"57","FOXG_22828","FOXG_22828",1,1,1,112,0,0,1,112,1,112,4.389e-23,837,"Non-effector",0.582,"Non-effector"
"58","FOXG_22864","FOXG_22864",1,1,1,181,0,0,1,181,1,181,2.084e-27,1143,"Non-effector",0.541,"Non-effector"
"59","FOXG_07716","FOXG_18382",0.9,0.5771,0.307,13,9,0,7,19,3,15,9.393,5,"Non-effector",0.839,"Cytoplasmic"
