"","query","target","alntmscore","lddt","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","evalue","bits","taxid","taxname","taxlineage","query_effector_type_score","query_prediction","target_ID","database"
"1","FOXG_22047","AF-A7UNK4-F1-model_v4","0.7392","0.6382","0.181","99","74","3","22","120","2","93","0.0002165","157","64660","Lyophyllum decastes","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Tricholomatineae;f_Lyophyllaceae;g_Lyophyllum;s_Lyophyllum decastes",0.708,"Apoplastic","A7UNK4","swissprot"
"2","FOXG_14570","AF-Q5KTN2-F1-model_v4","0.5851","0.762","0.254","106","77","2","1","106","1","104","0.0003561","138","48100","Alternaria solani","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_dothideomyceta;c_Dothideomycetes;-_Pleosporomycetidae;o_Pleosporales;-_Pleosporineae;f_Pleosporaceae;g_Alternaria;-_Alternaria sect. Porri;s_Alternaria solani",0.861,"Cytoplasmic","Q5KTN2","swissprot"
"3","FOXG_14570","AF-D4AY62-F1-model_v4","0.5528","0.7062","0.224","107","77","3","1","106","1","102","0.0008489","121","663331","Trichophyton benhamiae CBS 112371","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Onygenales;f_Arthrodermataceae;g_Trichophyton;s_Trichophyton benhamiae;-_Trichophyton benhamiae CBS 112371",0.861,"Cytoplasmic","D4AY62","swissprot"
"4","FOXG_12469","AF-Q1E8D2-F1-model_v4","0.5093","0.5959","0.114","157","99","11","100","235","1","138","0.0004526","116","246410","Coccidioides immitis RS","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Onygenales;f_Onygenaceae;g_Coccidioides;s_Coccidioides immitis;-_Coccidioides immitis RS",0.58,"Apoplastic","Q1E8D2","swissprot"
"5","FOXG_14069","AF-Q1E8D2-F1-model_v4","0.5068","0.5997","0.127","157","97","11","100","235","1","138","0.0006091","114","246410","Coccidioides immitis RS","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Onygenales;f_Onygenaceae;g_Coccidioides;s_Coccidioides immitis;-_Coccidioides immitis RS",0.573,"Apoplastic","Q1E8D2","swissprot"
"6","FOXG_12469","3sul.cif.gz_A","0.6018","0.5725","0.142","126","75","10","130","235","2","114","0.001104","113","153609","Moniliophthora perniciosa","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Marasmiineae;f_Marasmiaceae;g_Moniliophthora;s_Moniliophthora perniciosa",0.58,"Apoplastic","3sul","pdb"
"7","FOXG_12469","2kqa.cif.gz_MODEL_14_A","0.5737","0.5276","0.148","121","72","9","133","235","3","110","0.001035","106","88771","Ceratocystis platani","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Microascales;f_Ceratocystidaceae;g_Ceratocystis;s_Ceratocystis platani",0.58,"Apoplastic","2kqa","pdb"
"8","FOXG_14069","2kqa.cif.gz_MODEL_14_A","0.5734","0.5218","0.165","121","70","9","133","235","3","110","0.001221","105","88771","Ceratocystis platani","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Microascales;f_Ceratocystidaceae;g_Ceratocystis;s_Ceratocystis platani",0.573,"Apoplastic","2kqa","pdb"
"9","FOXG_14069","3sul.cif.gz_A","0.5495","0.5106","0.145","124","75","8","130","235","2","112","0.001481","100","153609","Moniliophthora perniciosa","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Marasmiineae;f_Marasmiaceae;g_Moniliophthora;s_Moniliophthora perniciosa",0.573,"Apoplastic","3sul","pdb"
"10","FOXG_12469","AF-C7ZLJ8-F1-model_v4","0.9082","0.6676","0.317","85","46","3","131","215","2","74","0.000681","176","660122","Fusarium vanettenii 77-13-4","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Hypocreales;f_Nectriaceae;g_Fusarium;-_Fusarium solani species complex;s_Fusarium vanettenii;-_Fusarium vanettenii 77-13-4",0.58,"Apoplastic","C7ZLJ8","uniprot50"
"11","FOXG_14069","AF-C7ZLJ8-F1-model_v4","0.9075","0.6645","0.305","85","47","3","131","215","2","74","0.0006665","177","660122","Fusarium vanettenii 77-13-4","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Hypocreales;f_Nectriaceae;g_Fusarium;-_Fusarium solani species complex;s_Fusarium vanettenii;-_Fusarium vanettenii 77-13-4",0.573,"Apoplastic","C7ZLJ8","uniprot50"
"12","FOXG_12469","AF-A0A067TGY0-F1-model_v4","0.9049","0.6459","0.242","95","58","4","141","235","2","82","0.0004626","178","685588","Galerina marginata CBS 339.88","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Agaricineae;f_Strophariaceae;g_Galerina;s_Galerina marginata;-_Galerina marginata CBS 339.88",0.58,"Apoplastic","A0A067TGY0","uniprot50"
"13","FOXG_12469","AF-A0A137QU22-F1-model_v4","0.9011","0.6427","0.265","98","58","4","138","235","1","84","0.0003352","181","1714833","Leucoagaricus sp. SymC.cos","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Agaricineae;f_Agaricaceae;g_Leucoagaricus;-_unclassified Leucoagaricus;s_Leucoagaricus sp. SymC.cos",0.58,"Apoplastic","A0A137QU22","uniprot50"
"14","FOXG_14069","AF-A0A137QU22-F1-model_v4","0.8994","0.6398","0.265","98","58","4","138","235","1","84","0.0003083","182","1714833","Leucoagaricus sp. SymC.cos","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Basidiomycota;-_Agaricomycotina;c_Agaricomycetes;-_Agaricomycetidae;o_Agaricales;-_Agaricineae;f_Agaricaceae;g_Leucoagaricus;-_unclassified Leucoagaricus;s_Leucoagaricus sp. SymC.cos",0.573,"Apoplastic","A0A137QU22","uniprot50"
"15","FOXG_17307","AF-A0A094E4Z2-F1-model_v4","0.8771","0.6746","0.328","70","44","2","16","82","91","160","0.0004141","195","1420912","Pseudogymnoascus sp. VKM F-103","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Leotiomycetes;-_Leotiomycetes incertae sedis;f_Pseudeurotiaceae;g_Pseudogymnoascus;-_unclassified Pseudogymnoascus;s_Pseudogymnoascus sp. VKM F-103",0.931,"Apoplastic","A0A094E4Z2","uniprot50"
"16","FOXG_22058","AF-A0A1B8AQW3-F1-model_v4","0.8764","0.7105","0.26","73","53","1","211","282","113","185","0.0009425","198","36050","Fusarium poae","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Hypocreales;f_Nectriaceae;g_Fusarium;-_Fusarium sambucinum species complex;s_Fusarium poae",0.639,"Apoplastic","A0A1B8AQW3","uniprot50"
"17","FOXG_14069","AF-A0A4P9ZZN9-F1-model_v4","0.8648","0.5876","0.253","75","49","3","141","215","2","69","0.0008619","159","215637","Dimargaris cristalligena","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Zoopagomycota;-_Kickxellomycotina;c_Dimargaritomycetes;o_Dimargaritales;f_Dimargaritaceae;g_Dimargaris;s_Dimargaris cristalligena",0.573,"Apoplastic","A0A4P9ZZN9","uniprot50"
