"","query","target","alntmscore","lddt","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","evalue","bits","taxid","taxname","taxlineage","query_effector_type_score","query_prediction","target_ID","database"
"1","FOXG_07142","AF-O59952-F1-model_v4","0.8915","0.8471","0.44","293","158","4","2","291","1","290","7.713e-33","1136","5541","Thermomyces lanuginosus","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Eurotiales;f_Trichocomaceae;g_Thermomyces;s_Thermomyces lanuginosus",0.577,"Non-effector","O59952","swissprot"
"2","FOXG_07142","AF-P19515-F1-model_v4","0.8588","0.7444","0.271","273","177","12","28","291","103","362","4.558e-22","721","4839","Rhizomucor miehei","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Mucoromycota;-_Mucoromycotina;c_Mucoromycetes;o_Mucorales;f_Lichtheimiaceae;g_Rhizomucor;s_Rhizomucor miehei",0.577,"Non-effector","P19515","swissprot"
"3","FOXG_07142","AF-P61869-F1-model_v4","0.8558","0.828","0.417","297","159","7","5","291","1","293","1.739e-31","1058","60167","Penicillium cyclopium","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Eurotiales;f_Aspergillaceae;g_Penicillium;s_Penicillium cyclopium",0.577,"Non-effector","P61869","swissprot"
"4","FOXG_07142","AF-P61870-F1-model_v4","0.8533","0.8319","0.41","297","161","7","5","291","1","293","1.113e-32","1096","5075","Penicillium camemberti","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Eurotiales;f_Aspergillaceae;g_Penicillium;s_Penicillium camemberti",0.577,"Non-effector","P61870","swissprot"
"5","FOXG_07142","AF-P61871-F1-model_v4","0.8384","0.7337","0.286","276","172","9","28","293","132","392","7.607e-24","760","4844","Rhizopus niveus","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Mucoromycota;-_Mucoromycotina;c_Mucoromycetes;o_Mucorales;-_Mucorineae;f_Rhizopodaceae;g_Rhizopus;s_Rhizopus niveus",0.577,"Non-effector","P61871","swissprot"
"6","FOXG_07142","AF-P61872-F1-model_v4","0.8145","0.7346","0.286","279","165","11","28","291","132","391","1.789e-23","738","64495","Rhizopus arrhizus","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Fungi incertae sedis;p_Mucoromycota;-_Mucoromycotina;c_Mucoromycetes;o_Mucorales;-_Mucorineae;f_Rhizopodaceae;g_Rhizopus;s_Rhizopus arrhizus",0.577,"Non-effector","P61872","swissprot"
"7","FOXG_07142","AF-P0CT91-F1-model_v4","0.7865","0.7067","0.254","377","180","18","9","293","26","393","3.472e-17","535","398408","Sodiomyces alcalophilus","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Hypocreomycetidae;o_Glomerellales;f_Plectosphaerellaceae;g_Sodiomyces;s_Sodiomyces alcalophilus",0.577,"Non-effector","P0CT91","swissprot"
"8","FOXG_07142","AF-O42815-F1-model_v4","0.7719","0.7023","0.261","302","187","9","2","291","1","278","8.358e-19","573","5068","Aspergillus tubingensis","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Eurotiales;f_Aspergillaceae;g_Aspergillus;s_Aspergillus tubingensis",0.577,"Non-effector","O42815","swissprot"
"9","FOXG_07142","AF-Q0CBM7-F1-model_v4","0.7704","0.716","0.286","304","178","9","2","291","1","279","1.483e-20","627","341663","Aspergillus terreus NIH2624","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Eurotiales;f_Aspergillaceae;g_Aspergillus;-_Aspergillus subgen. Circumdati;s_Aspergillus terreus;-_Aspergillus terreus NIH2624",0.577,"Non-effector","Q0CBM7","swissprot"
"10","FOXG_07142","AF-Q9P979-F1-model_v4","0.7682","0.7003","0.258","302","189","8","2","291","1","279","6.829e-20","601","105351","Aspergillus awamori","-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;c_Eurotiomycetes;-_Eurotiomycetidae;o_Eurotiales;f_Aspergillaceae;g_Aspergillus;s_Aspergillus awamori",0.577,"Non-effector","Q9P979","swissprot"
