#Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction
FOXG_22600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,-,Y (0.608),-,Apoplastic effector
FOXG_16533 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=424,-,-,Y (0.88),Non-effector
FOXG_02667 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=607,-,-,Y (0.899),Non-effector
FOXG_04105 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=409,-,-,Y (0.581),Non-effector
FOXG_16559 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=230,Y (0.52),Y (0.848),-,Apoplastic/cytoplasmic effector
FOXG_05006 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=607,-,-,Y (0.985),Non-effector
FOXG_05307 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=405,-,Y (0.535),-,Apoplastic effector
FOXG_03986 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=530,-,-,Y (0.888),Non-effector
FOXG_07509 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=272,-,-,Y (0.662),Non-effector
FOXG_21868 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=534,-,-,Y (0.791),Non-effector
FOXG_07474 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=574,-,-,Y (0.896),Non-effector
FOXG_10185 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=449,-,Y (0.504),-,Apoplastic effector
FOXG_04398 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=409,-,-,Y (0.816),Non-effector
FOXG_02712 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=304,-,Y (0.664),-,Apoplastic effector
FOXG_10710 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=445,-,-,Y (0.504),Non-effector
FOXG_03941 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=398,-,-,Y (0.84),Non-effector
FOXG_11583 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=220,-,Y (0.94),-,Apoplastic effector
FOXG_05594 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=302,Y (0.751),-,-,Cytoplasmic effector
FOXG_09152 | Fusarium oxysporum f. sp. lycopersici 4287 | palmitoyl-protein thioesterase | protein | length=333,-,-,Y (0.767),Non-effector
FOXG_05541 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=829,-,-,Y (0.901),Non-effector
FOXG_14254 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=521,-,-,Y (0.63),Non-effector
FOXG_04050 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=185,-,Y (0.815),-,Apoplastic effector
FOXG_13502 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=140,Y (0.896),-,-,Cytoplasmic effector
FOXG_11757 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=689,-,-,Y (0.815),Non-effector
FOXG_02638 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=399,-,-,Y (0.93),Non-effector
FOXG_04452 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=145,Y (0.845),Y (0.926),-,Apoplastic/cytoplasmic effector
FOXG_17012 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=548,-,-,Y (0.859),Non-effector
FOXG_22211 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=381,-,-,Y (0.778),Non-effector
FOXG_10691 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=284,Y (0.645),Y (0.536),-,Cytoplasmic/apoplastic effector
FOXG_09254 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1129,-,-,Y (0.763),Non-effector
FOXG_14713 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=221,-,Y (0.954),-,Apoplastic effector
FOXG_21114 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=85,Y (0.9),-,-,Cytoplasmic effector
FOXG_03807 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=445,-,-,Y (0.691),Non-effector
FOXG_20830 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=194,-,-,Y (0.531),Non-effector
FOXG_11248 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=200,Y (0.838),-,-,Cytoplasmic effector
FOXG_06092 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=203,-,Y (0.967),-,Apoplastic effector
FOXG_11709 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=497,-,-,Y (0.855),Non-effector
FOXG_04315 | Fusarium oxysporum f. sp. lycopersici 4287 | tyrosinase | protein | length=403,-,-,Y (0.859),Non-effector
FOXG_00957 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=243,-,-,Y (0.773),Non-effector
