# ID,Prediction,OTHER,SP(Sec/SPI),CS Position
AF-O59952-F1-model_v4,SP,0.00023,0.999754,CS pos: 22-23. Pr: 0.9635
AF-P19515-F1-model_v4,SP,0.001662,0.998327,CS pos: 24-25. Pr: 0.9666
AF-P61869-F1-model_v4,SP,0.000236,0.999749,CS pos: 26-27. Pr: 0.9626
AF-P61870-F1-model_v4,SP,0.000236,0.999749,CS pos: 26-27. Pr: 0.9626
AF-P61871-F1-model_v4,SP,0.001218,0.998749,CS pos: 26-27. Pr: 0.9644
AF-P61872-F1-model_v4,SP,0.001218,0.998749,CS pos: 26-27. Pr: 0.9644
AF-P0CT91-F1-model_v4,SP,0.075972,0.924007,CS pos: 32-33. Pr: 0.8423
AF-O42815-F1-model_v4,SP,0.000246,0.999714,CS pos: 21-22. Pr: 0.9784
AF-Q0CBM7-F1-model_v4,SP,0.000238,0.999746,CS pos: 21-22. Pr: 0.9752
AF-Q9P979-F1-model_v4,SP,0.012568,0.987421,CS pos: 21-22. Pr: 0.9532
AF-B8NIB8-F1-model_v4,SP,0.000501,0.999465,CS pos: 21-22. Pr: 0.7661
AF-Q2UNW5-F1-model_v4,SP,0.003503,0.996487,CS pos: 21-22. Pr: 0.9444
AF-O42807-F1-model_v4,SP,0.000207,0.999767,CS pos: 21-22. Pr: 0.9796
AF-A2QSY5-F1-model_v4,SP,0.000207,0.999767,CS pos: 21-22. Pr: 0.9796
AF-A7UNK4-F1-model_v4,NO_SP,1.000033,0.000002,
AF-P47145-F1-model_v4,NO_SP,1.000007,0.000019,
AF-Q5KTN2-F1-model_v4,NO_SP,1.000071,0,
AF-D4AY62-F1-model_v4,NO_SP,0.997199,0.002817,
AF-Q00746-F1-model_v4,SP,0.000193,0.999807,CS pos: 16-17. Pr: 0.9763
AF-Q1E8D2-F1-model_v4,SP,0.000206,0.999777,CS pos: 20-21. Pr: 0.9829
AF-P87020-F1-model_v4,SP,0.000298,0.999672,CS pos: 15-16. Pr: 0.9513
AF-Q1E8D2-F1-model_v4_2,SP,0.000206,0.999777,CS pos: 20-21. Pr: 0.9829
1eb6.cif.gz_A,NO_SP,1.000037,0.000001,
3sul.cif.gz_A,NO_SP,0.999488,0.000565,
2kqa.cif.gz_MODEL_14_A,NO_SP,0.998416,0.001615,
2kqa.cif.gz_MODEL_14_A_2,NO_SP,0.998416,0.001615,
3sul.cif.gz_A_2,NO_SP,0.999488,0.000565,
AF-F9F5L1-F1-model_v4,SP,0.00033,0.999624,CS pos: 18-19. Pr: 0.9733
AF-A0A094E4Z2-F1-model_v4,NO_SP,1.000033,0,
AF-A0A1B8AQW3-F1-model_v4,NO_SP,1.000049,0.000002,
AF-A0A6G1J3A6-F1-model_v4,NO_SP,1.000016,0.000031,
AF-F9GAP4-F1-model_v4,NO_SP,1.000039,0,
AF-A0A6A6SQ41-F1-model_v4,SP,0.000217,0.999758,CS pos: 20-21. Pr: 0.9785
AF-A0A1Y2TWA8-F1-model_v4,NO_SP,1.000002,0.000054,
AF-A0A1B8E6X3-F1-model_v4,SP,0.000237,0.999743,CS pos: 17-18. Pr: 0.9840
AF-G2YAH4-F1-model_v4,NO_SP,0.994765,0.005253,
AF-A0A1L7WQJ3-F1-model_v4,NO_SP,1.000004,0.000017,
AF-A0A6M7Z392-F1-model_v4,NO_SP,0.999894,0.000124,
AF-A0A1Y1VSK8-F1-model_v4,SP,0.000195,0.999781,CS pos: 18-19. Pr: 0.9803
AF-H0EYU1-F1-model_v4,NO_SP,1.000075,0.000001,
AF-A0A1Y1VGZ9-F1-model_v4,SP,0.000191,0.999814,CS pos: 20-21. Pr: 0.9799
AF-A0A1Y3NKZ9-F1-model_v4,SP,0.000176,0.999826,CS pos: 20-21. Pr: 0.9815
AF-A0A1Y2A7E6-F1-model_v4,SP,0.000177,0.999788,CS pos: 20-21. Pr: 0.9812
AF-A0A0D1ZLH5-F1-model_v4,NO_SP,1.000059,0,
AF-A0A2Z6QPQ1-F1-model_v4,NO_SP,0.999841,0.000189,
AF-A0A2T0AG64-F1-model_v4,NO_SP,1.000052,0.000004,
AF-A0A507B5X1-F1-model_v4,NO_SP,0.999977,0.000037,
AF-A0A427XWQ8-F1-model_v4,SP,0.003116,0.996899,CS pos: 17-18. Pr: 0.8446
AF-A7UNK4-F1-model_v4_2,NO_SP,1.000033,0.000002,
AF-A0A1Y3NAX8-F1-model_v4,SP,0.00018,0.999835,CS pos: 18-19. Pr: 0.8879
AF-A0A066W885-F1-model_v4,NO_SP,1.000066,0.000001,
AF-A0A316VJL4-F1-model_v4,NO_SP,1.000036,0.000008,
AF-A0A1M3TFR6-F1-model_v4,NO_SP,1.000056,0.000001,
AF-A0A1Y1XL48-F1-model_v4,SP,0.000205,0.999774,CS pos: 21-22. Pr: 0.9743
AF-A0A2S7QZ20-F1-model_v4,NO_SP,1.000069,0,
AF-A0A0L6VIJ7-F1-model_v4,NO_SP,0.996914,0.003107,
AF-K2SE83-F1-model_v4,SP,0.000278,0.999682,CS pos: 27-28. Pr: 0.7503
AF-A0A1Y2EGM4-F1-model_v4,SP,0.003425,0.996576,CS pos: 17-18. Pr: 0.9447
AF-X0IVL1-F1-model_v4,SP,0.000357,0.999621,CS pos: 18-19. Pr: 0.5760
AF-A0A2S7NVD0-F1-model_v4,NO_SP,1.000069,0,
AF-A0A2K0UUP6-F1-model_v4,NO_SP,1.000072,0,
AF-W7MPV6-F1-model_v4,SP,0.42787,0.572131,CS pos: 16-17. Pr: 0.5535
AF-A0A0H2UF94-F1-model_v4,NO_SP,0.999835,0.000178,
AF-A0A4P9ZU38-F1-model_v4,NO_SP,1.000002,0.000017,
AF-A0A0G4LNK6-F1-model_v4,SP,0,1.000051,CS pos: 18-19. Pr: 0.9878
AF-A0A2C5XC43-F1-model_v4,SP,0.000579,0.999391,CS pos: 25-26. Pr: 0.8086
AF-F4RQ52-F1-model_v4,SP,0.000207,0.999771,CS pos: 28-29. Pr: 0.9749
AF-A0A5N6Z1V8-F1-model_v4,SP,0.000256,0.999717,CS pos: 22-23. Pr: 0.9758
AF-A0A2P5I8L5-F1-model_v4,SP,0.001913,0.998068,CS pos: 17-18. Pr: 0.9549
AF-A0A5N7EZ44-F1-model_v4,NO_SP,0.996837,0.003169,
AF-A0A0A2JVB1-F1-model_v4,SP,0.000253,0.999702,CS pos: 26-27. Pr: 0.8467
AF-A0A093ZW93-F1-model_v4,NO_SP,0.999817,0.000185,
AF-A0A6A6RT61-F1-model_v4,NO_SP,1.00006,0.000001,
AF-A0A6A6E417-F1-model_v4,SP,0.000274,0.999702,CS pos: 15-16. Pr: 0.9722
AF-A0A6A6DMB6-F1-model_v4,NO_SP,1.000056,0,
