# ID,Prediction,OTHER,SP(Sec/SPI),CS Position
FOXG_07142,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_14768,NO_SP,0.999982,0.000054,
FOXG_07142_2,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_07142_3,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_07142_4,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_17307,SP,0.000192,0.999786,CS pos: 19-20. Pr: 0.9762
FOXG_22058,SP,0.000178,0.999796,CS pos: 22-23. Pr: 0.9759
FOXG_07142_5,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_17307_2,SP,0.000192,0.999786,CS pos: 19-20. Pr: 0.9762
FOXG_07142_6,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_07142_7,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_07142_8,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_20914,NO_SP,0.956256,0.043772,
FOXG_17307_3,SP,0.000192,0.999786,CS pos: 19-20. Pr: 0.9762
FOXG_07142_9,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_14069,SP,0.02217,0.977799,CS pos: 17-18. Pr: 0.8842
FOXG_14570,NO_SP,0.986994,0.013021,
FOXG_17307_4,SP,0.000192,0.999786,CS pos: 19-20. Pr: 0.9762
FOXG_14570_2,NO_SP,0.986994,0.013021,
FOXG_17307_5,SP,0.000192,0.999786,CS pos: 19-20. Pr: 0.9762
FOXG_14570_3,NO_SP,0.986994,0.013021,
FOXG_20914_2,NO_SP,0.956256,0.043772,
FOXG_07142_10,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_22509,SP,0.000267,0.999716,CS pos: 16-17. Pr: 0.9732
FOXG_12469,SP,0.02217,0.977799,CS pos: 17-18. Pr: 0.8842
FOXG_07142_11,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_17307_6,SP,0.000192,0.999786,CS pos: 19-20. Pr: 0.9762
FOXG_22509_2,SP,0.000267,0.999716,CS pos: 16-17. Pr: 0.9732
FOXG_07142_12,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_20914_3,NO_SP,0.956256,0.043772,
FOXG_07142_13,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_22509_3,SP,0.000267,0.999716,CS pos: 16-17. Pr: 0.9732
FOXG_20914_4,NO_SP,0.956256,0.043772,
FOXG_07142_14,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_22509_4,SP,0.000267,0.999716,CS pos: 16-17. Pr: 0.9732
FOXG_07142_15,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_14570_4,NO_SP,0.986994,0.013021,
FOXG_05604,SP,0.000311,0.999658,CS pos: 24-25. Pr: 0.9772
FOXG_07142_16,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_07142_17,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_07142_18,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_07142_19,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_17307_7,SP,0.000192,0.999786,CS pos: 19-20. Pr: 0.9762
FOXG_07142_20,SP,0.000214,0.999752,CS pos: 18-19. Pr: 0.9802
FOXG_22509_5,SP,0.000267,0.999716,CS pos: 16-17. Pr: 0.9732
